n_document,type_document,date,famille,ligne,reference,designation,quantite,pu_achat,montant_ht,remise,marge
22-12-330,FACTURE,2022-12-30,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-330,FACTURE,2022-12-30,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-330,FACTURE,2022-12-30,Services,Article,MC,MAITRE DE CEREMONIE,1.0,0.0,110.0,0.0,0.0
22-12-330,FACTURE,2022-12-30,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-330,FACTURE,2022-12-30,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-330,FACTURE,2022-12-30,Services,Article,MC,MAITRE DE CEREMONIE,1.0,0.0,110.0,0.0,0.0
22-12-330,FACTURE,2022-12-30,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-330,FACTURE,2022-12-30,Services,Article,MC,MAITRE DE CEREMONIE,1.0,0.0,110.0,0.0,0.0
22-12-330,FACTURE,2022-12-30,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-330,FACTURE,2022-12-30,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-330,FACTURE,2022-12-30,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),1.0,195.0,195.0,0.0,0.0
22-12-330,FACTURE,2022-12-30,Services,Article,MC,MAITRE DE CEREMONIE,1.0,0.0,110.0,0.0,0.0
22-12-330,FACTURE,2022-12-30,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-329,FACTURE,2022-12-30,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-329,FACTURE,2022-12-30,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-329,FACTURE,2022-12-30,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),1.0,115.0,115.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Services,Article,REM,REMISE SUPPLEMENTAIRE,1.0,0.0,-100.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Services,Article,REM,REMISE COMMERCIALE,1.0,0.0,-431.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PIQU,PIQUET,1.0,0.0,36.81,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,1.0,0.0,15.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),1.0,195.0,195.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-328,FACTURE,2022-12-29,Produits,Article,SUR,FRAIS FORFAITAIRE DE ROUTE ET/OU D ENLEVEMENT DU SURPLUS DE TERRE,1.0,30.0,70.0,0.0,57.14
22-12-328,FACTURE,2022-12-29,Services,Article,CR2M,CREUSEMENT 2M,1.0,0.0,380.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PIQU,PIQUET,1.0,0.0,36.81,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-328,FACTURE,2022-12-29,Produits,Article,SUR,FRAIS FORFAITAIRE DE ROUTE ET/OU D ENLEVEMENT DU SURPLUS DE TERRE,1.0,30.0,70.0,0.0,57.14
22-12-328,FACTURE,2022-12-29,Services,Article,CR2M,CREUSEMENT 2M,1.0,0.0,380.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PIQU,PIQUET,1.0,0.0,36.81,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PIQU,PIQUET,1.0,0.0,36.81,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
