N°,Type,Date,Famille,Ligne,Référence,Désignation,Quantité,PU Achat,Montant HT,% Rem,% Marge
N° 22-12-330,FACTURE,30/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-330,FACTURE,30/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-330,FACTURE,30/12/2022,Services,Article,MC,MAITRE DE CEREMONIE,"1,00","0,00","110,00","0,00","0,00"
N° 22-12-330,FACTURE,30/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-330,FACTURE,30/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-330,FACTURE,30/12/2022,Services,Article,MC,MAITRE DE CEREMONIE,"1,00","0,00","110,00","0,00","0,00"
N° 22-12-330,FACTURE,30/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-330,FACTURE,30/12/2022,Services,Article,MC,MAITRE DE CEREMONIE,"1,00","0,00","110,00","0,00","0,00"
N° 22-12-330,FACTURE,30/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-330,FACTURE,30/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-330,FACTURE,30/12/2022,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),"1,00","195,00","195,00","0,00","0,00"
N° 22-12-330,FACTURE,30/12/2022,Services,Article,MC,MAITRE DE CEREMONIE,"1,00","0,00","110,00","0,00","0,00"
N° 22-12-330,FACTURE,30/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-329,FACTURE,30/12/2022,Produits,Article,MCHF,MAITRE DE CEREMONIE (HORS FORFAIT),"1,00","115,00","115,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Services,Article,REM,REMISE SUPPLEMENTAIRE,"1,00","0,00","-100,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Services,Article,REM,REMISE COMMERCIALE,"1,00","0,00","-431,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PIQU,PIQUET,"1,00","0,00","36,81","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"1,00","0,00","15,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),"1,00","195,00","195,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,SUR,FRAIS FORFAITAIRE DE ROUTE ET/OU D ENLEVEMENT DU SURPLUS DE TERRE,"1,00","30,00","70,00","0,00","57,14"
N° 22-12-328,FACTURE,29/12/2022,Services,Article,CR2M,CREUSEMENT 2M,"1,00","0,00","380,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PIQU,PIQUET,"1,00","0,00","36,81","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,SUR,FRAIS FORFAITAIRE DE ROUTE ET/OU D ENLEVEMENT DU SURPLUS DE TERRE,"1,00","30,00","70,00","0,00","57,14"
N° 22-12-328,FACTURE,29/12/2022,Services,Article,CR2M,CREUSEMENT 2M,"1,00","0,00","380,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PIQU,PIQUET,"1,00","0,00","36,81","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PIQU,PIQUET,"1,00","0,00","36,81","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PIQU,PIQUET,"1,00","0,00","36,73","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"1,00","0,00","15,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PHF,PORTEUR (HORS FORFAIT),"1,00","100,00","100,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),"1,00","195,00","195,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
